percent_time_head_above_water,longest_time_head_underwater,average_forward_velocity,episode_duration,terminated,truncated,unstable,episode
0.6,24.650000000000002,0.04043915166760267,25.0,False,True,False,63
1.0,24.650000000000002,0.07278856649572903,25.0,False,True,False,64
2.4,24.400000000000002,0.03109897164509062,25.0,False,True,False,65
2.2,24.450000000000003,0.03253112837175566,25.0,False,True,False,66
2.2,24.450000000000003,0.03219230154069456,25.0,False,True,False,67
2.0,24.5,0.030402234360934074,25.0,False,True,False,68
1.6,24.6,0.03249982284677328,25.0,False,True,False,69
2.8,24.3,0.031987122240734966,25.0,False,True,False,70
2.6,24.35,0.03301107668199094,25.0,False,True,False,71
2.2,24.450000000000003,0.03056479859170448,25.0,False,True,False,72
9.4,22.5,0.03974043255305063,25.0,False,True,False,73
1.8,24.55,0.04709139893005576,25.0,False,True,False,74
1.8,24.55,0.029056900918996632,25.0,False,True,False,75
1.2,24.650000000000002,0.0374310962118601,25.0,False,True,False,76
1.2,24.650000000000002,0.04064523126346748,25.0,False,True,False,77
2.8,24.3,0.030841743685158712,25.0,False,True,False,78
1.2,24.650000000000002,0.05242380827591681,25.0,False,True,False,79
2.6,24.35,0.030427191164377088,25.0,False,True,False,80
3.0,24.25,0.04074509283454267,25.0,False,True,False,81
2.0,24.5,0.03622744860876381,25.0,False,True,False,82
1.2,24.650000000000002,0.03224506282344482,25.0,False,True,False,83
2.4,24.400000000000002,0.03464772710678711,25.0,False,True,False,84
1.8,24.55,0.03204884005586483,25.0,False,True,False,85
1.8,24.55,0.034391175196571894,25.0,False,True,False,86
1.0,24.650000000000002,0.040163136552675456,25.0,False,True,False,87
1.8,24.55,0.03126571811025339,25.0,False,True,False,88
2.4,24.400000000000002,0.0350205357295323,25.0,False,True,False,89
1.4,24.6,0.03180942100482179,25.0,False,True,False,90
1.2,24.650000000000002,0.04238946330829375,25.0,False,True,False,91
0.8,24.650000000000002,0.03033713915640319,25.0,False,True,False,92
2.0,24.5,0.034399522432070284,25.0,False,True,False,93
1.8,24.55,0.029271806164522858,25.0,False,True,False,94
1.4,24.6,0.03337453040598419,25.0,False,True,False,95
1.2,24.650000000000002,0.03241918544599181,25.0,False,True,False,96
1.8,24.55,0.02923871263755101,25.0,False,True,False,97
1.8,24.55,0.03896482253473976,25.0,False,True,False,98
1.0,24.650000000000002,0.0367642675720958,25.0,False,True,False,99
